network,total_device_id,pred,per_nc,rank_predicted,rank_real,cr_uplift
InMobi,8980,0.0510410302955124,0.0545657019218263,1,1,0.0764308591340047
Organic,23965,0.0498846436114589,0.0519507613998748,2,2,0.0520432183555973
Saatchi,964,0.0487091523591082,0.035269709469917,3,7,0.0272526713908031
Taptica,1723,0.0389017370860735,0.040626813431805,4,4,-0.179581014902652
IronSource,1383,0.0364788661957755,0.037599421537961,5,5,-0.230678200420153
Mobvista,4777,0.0356651675867551,0.0437513081854721,6,3,-0.247838713985668
BBM,5806,0.0349027093838419,0.0356527729762315,7,6,-0.263918591951764
Mobvista SDK,2110,0.0242644863468896,0.0236966825867299,8,8,-0.488273615685142
