iMISID,ID,UJURIS,UJURIS1,NAME_CUT,UPO,NAMELSAD,TEST,USTATE,STATE_TITLE,COUNTYFP +,COUSUBFP,COUSUBNS,FIPS_PLACE_ID,ST_FIP,ICMA_REGION_CODE,UCNTY#,GEOID,UZIP,UTYPE,UID,UPOP,UGRAPH,UREGN,UMETRO,UFOG,STATEFP +,per_flood,drought,per_sea,flood_dummy,drought_dummy,sea_dummy,score_hazard,statereg,per_water,pop_total_log,pop_density_log,pop_growth,age_median,per_white,per_male,per_manufact,edu_bachelor,per_democrat,hh_oc,income_log,prior_env,prior_cli,greenaction,staffs,urban,impervious
121963,121963,City of Clemson,"CLEMSON, CITY OF",Clemson,Clemson,Clemson CCD,TRUE,SC,South Carolina,77,90650,1938230,14950,4514950,SE,77,4507790650,29631-2661,1,1,6,5,3,2,1,45,4.3691445,10.56716418,0,1,2,0,3,0,3.523565383,9.891060658,5.657056894,65.44936762,21.7,81.9,53.1,5.2,18.8136302,25.91,44.6,10.49060733,3,2,2,0,34,1
181208,181208,City of Clinton,"CLINTON, CITY OF",Clinton,Clinton,Clinton CCD,TRUE,SC,South Carolina,59,90663,1938231,15295,4515295,SE,59,4505990663,29325-0748,1,1,7,5,3,3,2,45,6.4623744,11,0,1,2,0,3,0,0,9.598320166,3.646651268,82.17772834,37.5,64.5,47.1,19.8,9.7209783,38.43,63.6,10.44839571,1,1,1,0,6,0
181438,181438,Town of Clover,"CLOVER, TOWN OF",Clover,Clover,Clover CCD,TRUE,SC,South Carolina,91,90689,1938233,15355,4515355,SE,91,4509190689,29710-4060,1,2,8,5,3,2,1,45,5.714678,11.57142857,0,1,2,0,3,0,2.96657223,10.3829773,4.537053803,704.8081714,39.9,87.3,49.6,16.1,15.1280622,61.82,80,10.87434222,3,2,1,0,12,0
121382,121382,City of Columbia,"COLUMBIA, CITY OF",Columbia,Columbia,Columbia CCD,TRUE,SC,South Carolina,79,90702,1938234,16000,4516000,SE,79,4507990702,29217,1,1,3,5,3,1,2,45,6.8914921,10.60493827,0,1,2,0,3,0,1.140264988,12.03233217,6.544901251,44.56991004,31.8,46.7,47.1,5.9,18.9770665,64.02,51.7,10.57620241,3,3,4,1,87,0
121966,121966,City of Easley,"EASLEY, CITY OF",Easley,Easley,Easley CCD,TRUE,SC,South Carolina,77,90936,1938252,21985,4521985,SE,77,4507790936,29641-0466,1,1,6,5,3,2,1,45,3.4631919,11,0,1,2,0,3,0,0,10.52067119,5.645337538,108.8205475,39.4,86.7,48.1,18.3,10.7887751,37.18,70.5,10.6936707,2,2,0,0,63,0
181477,181477,Town of Edgefield,"EDGEFIELD, TOWN OF",Edgefield,Edgefield,Edgefield CCD,TRUE,SC,South Carolina,37,90975,1938255,22795,4522795,SE,37,4503790975,29824-1302,1,2,8,5,3,3,1,45,3.9808496,13.12811388,0,1,2,0,3,0,0,9.0512274,2.717228929,91.70600135,40.5,52.9,60.7,16.8,6.1774704,38.63,71.4,10.48455726,4,1,0,0,1,0
181357,181357,City of Greenville,"GREENVILLE, CITY OF",Greenville,Greenville,Greenville CCD,TRUE,SC,South Carolina,45,91365,1938285,30850,4530850,SE,45,4504591365,29602-2207,1,1,4,5,3,1,2,45,6.1973386,11,0,1,2,0,3,0,0,12.48232844,6.295826537,370.7635442,36.6,68.3,48.2,16.5,18.4281472,37.18,60.7,10.67883665,3,2,2,2,83,0
181144,181144,City of Newberry,"NEWBERRY, CITY OF",Newberry,Newberry,Newberry CCD,TRUE,SC,South Carolina,71,92366,1938363,49570,4549570,SE,71,4507192366,29108-0538,1,1,6,5,3,3,2,45,7.4540156,9.463700234,0,1,2,0,3,0,0.657072514,9.836064876,3.783810512,76.71077505,35.5,48.9,48.2,19.1,10.3005435,40.6,62,10.40607937,1,1,1,0,6,1
181420,181420,City of Pickens,"PICKENS, CITY OF",Pickens,Pickens,Pickens CCD,TRUE,SC,South Carolina,77,92639,1938384,56140,4556140,SE,77,4507792639,29671-0217,1,1,8,5,3,2,1,45,4.688536,11,0,1,2,0,3,0,0,9.662116383,4.10225489,421.6135458,41.5,93.3,49.4,24.5,6.6604934,37.18,77,10.57816522,4,1,1,0,5,1
121271,121271,Town of Saluda,"SALUDA, TOWN OF",Saluda,Saluda,Saluda CCD,TRUE,SC,South Carolina,81,92990,1938411,63250,4563250,SE,81,4508192990,29138-1633,1,2,8,5,3,3,1,45,5.6138163,10.70983214,0,1,2,0,3,0,0,9.109967398,3.074249565,195.0097847,35.5,45.7,49.7,24.4,5.0212083,41.62,67.2,10.59214969,3,2,2,0.5,1,0
